origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
UK,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UK,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UK,LU,null ,null ,null ,null ,null ,null ,null ,0,0,null ,null ,null ,null ,null ,null ,null 
UK,NL,null,null,null,null,null,null ,null ,null ,null ,null,null ,null ,null ,null ,null ,null 
UK,PL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,1
UK,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,null ,null ,0,0,0,0
UK,SI,0,0,1,0,0,0,null ,0,1,0,0,0,0,0,0,1
UK,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,1
UK,TR,null ,null ,null ,0,3,3,null ,null ,null ,null ,null ,null ,null ,null ,null ,2
UNK,CH,134,122,118,117,122,49,50,52,45,44,39,41,null ,null ,null ,null 
UNK,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,12,10,15,0,10,220,null 
UNK,DE,273,169,26,192,122,144,143,264,44,152,134,15,1,2,1,null 
UNK,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UNK,EL,null ,null ,null ,null ,null ,null ,null ,0,3,104,122,143,156,92,75,50
UNK,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
UNK,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UNK,HR,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,null 
UNK,HU,null ,null ,null ,null ,null,0,null ,null ,null ,1,1,94,51,97,59,1
UNK,MK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null 
UNK,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,50,122,120,100
UNK,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,29,0,0
UNK,SI,38,72,75,104,19,13,26,15,12,6,7,9,4,5,10,null 
UNK,SK,82,97,96,92,23,93,110,99,95,546,4,null ,13,null ,null ,null 
UNK,TR,null ,null ,0,155,11,29,null ,1,26,98,68,36,47,71,39,38
