origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
CH,PL,1,1,1,1,2,1,2,3,2,3,3,3,3,4,4,3
CH,RO,0,0,0,0,0,0,0,0,0,13,55,33,19,9,11,24
CH,SI,9,7,7,6,6,8,7,8,7,8,8,7,7,7,4,7
CH,SK,4,3,2,1,1,1,1,1,1,1,1,2,1,2,2,2
CH,TR,null ,null ,null ,1,14,14,10,11,11,11,9,9,5,2,2,1
CI,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,11,8,null 
CN,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null 
CY,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
CZ,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CZ,BE,null,null,null,null ,null ,null ,null,null ,0,0,0,0,0,0,0,0
CZ,BG,null,null,null,1,2,2,2,2,1,3,2,2,2,null,null ,null 
CZ,DE,569,560,442,608,527,352,396,406,373,224,249,203,207,278,240,229
CZ,DK,5,4,6,6,3,5,7,12,9,9,6,6,12,12,0,1
CZ,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
CZ,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
CZ,FR,null ,null,null,null,null,null,null,null,null,null,0,0,0,0,0,1
CZ,HR,0,0,1,1,1,1,1,1,1,2,3,4,3,1,1,1
CZ,HU,null,null,null,null,null,95,78,69,61,53,51,60,55,52,58,39
CZ,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null,10,40,4,5
CZ,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0
CZ,LU,0,0,0,0,0,0,0,0,0,0,null ,0,0,null ,0,0
CZ,MK,null ,null ,null ,null ,0,0,0,null ,0,0,0,null ,null ,null ,null ,null 
CZ,NL,null,null,null,null,null,null,null,null,null,null,null,null,null ,9,10,10
CZ,PL,142,148,101,86,47,51,91,102,107,104,96,137,131,115,101,88
CZ,RO,1,1,1,1,2,2,2,3,2,3,4,7,4,5,12,4
CZ,SI,2,1,3,2,3,4,5,5,5,5,7,5,5,6,2,4
CZ,SK,697,676,675,675,664,651,641,621,625,201,564,668,666,539,617,513
CZ,TR,null ,null ,null ,0,1,1,0,1,1,null ,1,1,1,0,0,0
DE,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
DE,BE,null,null,null,null,null,null,null,null ,101,101,137,101,102,105,75,58
DE,BG,null,null,null,28,34,41,46,53,52,39,31,19,5,null,null ,null 
DE,CH,2642,2418,2340,2306,2402,2545,2604,2662,2309,2284,2011,2117,null ,null ,null ,null 
DE,CZ,764,656,609,442,605,534,484,350,null ,230,151,222,98,166,209,29
DE,DK,321,296,417,438,486,432,367,438,437,355,253,253,209,192,145,186
DE,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
DE,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
DE,FR,null,null,null,null,null,null,null,null,null,null,619,434,346,341,342,335
DE,HR,24,19,24,22,25,28,35,36,33,28,33,28,26,28,33,40
DE,HU,null,null,null,null,null,173,247,254,200,163,143,115,112,106,114,77
DE,IT,null,null,null,null,null,null,null,null,null,null,null,null,334,380,323,319
DE,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,1,1,1,1,2
DE,LU,373,333,278,321,267,224,323,310,342,309,null ,240,216,213,163,159
DE,MK,null ,null ,null ,null ,null ,0,null ,null ,0,0,0,null ,null ,null ,null ,null 
DE,NL,null,null,null,null,null,null,null,null,null,null,null,null,987,723,925,1166
DE,PL,453,411,414,358,392,465,526,510,581,490,342,295,307,326,391,465
DE,RO,1,1,1,1,1,2,2,2,2,31,21,24,8,11,15,14
DE,SE,10,7,6,5,5,4,4,null ,17,17,21,1,16,14,17,23
DE,SI,35,26,22,22,28,28,34,32,28,20,24,21,25,19,24,18
DE,SK,19,16,17,10,19,15,14,15,12,4,12,8,10,20,19,9
DE,TR,null ,null ,0,1,17,16,14,18,22,13,14,16,9,4,4,3
DK,AT,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null ,null ,null ,null
DK,BE,null,null,null,null ,null ,null ,null,null ,0,0,0,0,0,0,0,0
DK,BG,null,null,null,8,9,9,10,12,13,14,14,13,8,null,null ,null 
DK,CZ,2,1,1,1,1,2,2,3,null ,2,2,3,0,1,6,0
DK,DE,164,245,286,269,250,220,278,280,397,275,264,211,134,142,142,243
DK,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
DK,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,0,null ,0,0,0,0
DK,HR,0,0,null ,null ,null ,null ,null ,0,0,0,1,1,0,1,1,1
